id	name	org	league	gender	birthday	period	birthplace
nakata	中田花奈	JPML	E1	female	1994/08/06	第33期	埼玉県
nakatayuusuke	中田裕介	JPML	—	male	12/26	第39期	関西
nakajimahiroki	中島寛基	JPML	—	male	02/12	第36期	中部
nakajimatsuyoshi	中島剛	JPML	—	male	12/21	第36期	九州
nakajimajutarou	中島寿太郎	JPML	E1②	male	09/04	第37期	東京
nakajimanono	中嶋野乃	JPML	E3②	female	02/09	第39期	東京
nakahirayuusuke	中平優佑	JPML	E1①	male	08/30	第37期	東京
nakanonobusuke	中野のぶすけ	JPML	D2②	male	02/16	第37期	東京
nakanotakaharu	中野孝治	JPML	—	male	10/19	第26期	関西
nakanotakumi	中野巧	JPML	D3①	male	06/29	第40期	東京
nakanoshuuji	中野秀司	JPML	—	male	02/12	第40期	関西
nakanotaeko	中野妙子	JPML	E1①	female	08/04	第30期	東京
nakagukihirobumi	中岫宏文	JPML	D3②	male	08/15	第25期	東京
nakagameshunya	仲亀俊弥	JPML	—	male	09/13	第39期	北海道
nakamuraryouya	仲村澪哉	JPML	—	male		第36期	九州
kana_nakata	仲田加南	JPML	A2	female	09/13	第21期	東京
nakanokouhei	仲野孝兵	JPML	—	male	02/20	第34期	北海道
ibanatakuya	猪鼻拓哉	JPML	E1①	male	03/02	第36期	関西
asaihiroyoshi	朝井大元	JPML	D2②	male	09/20	第34期	東京
asahinayuri	朝比奈ゆり	JPML	D1①	female	09/30	第40期	東京
asanokanau	朝野叶	JPML	E1②	male	09/09	第39期	東京
machidashiori	町田志織	JPML	C3	female	12/09	第36期	東京
nagairise	長井梨世	JPML	—	female	02/03	第35期	東京
nagayamasakuya	長山朔弥	JPML	—	male	02/23	第40期	四国
osamuradai	長村大	JPML	C1	male	07/09	第37期	東京
hasegawakanon	長谷川夏音	JPML	E1②	female	08/11	第39期	東京
osanaimami	長内真実	JPML	—	female	08/19	第24期	東京
nagaokouhei	長尾浩平	JPML	—	male	10/21	第21期	四国
torigoeshinji	鳥越真仁	JPML	C2	male	08/12	第28期	東京
tsumorishinichi	津森慎一	JPML	—	male	09/23	第39期	山口
tsumurakenichi	津村憲一	JPML	D3①	male	10/31	第36期	北関東
tsushimamei	津島萌唯	JPML	—	male	06/11	第38期	北海道
tsutoumasatomo	津藤雅知	JPML	D1①	male	09/20	第39期	東京
tsutoutakayuki	津藤孝幸	JPML	—	male	02/02	第36期	東北
shiinakenta	椎名健太	JPML	E1②	male	07/22	第38期	東京
tsukakoshitatsuya	塚越達也	JPML	D3②	male	01/06	第37期	東京
tsukadayuusuke	塚田悠介	JPML	E2①	male	05/09	第36期	東京
tsukamotonobuyuki	塚本将之	JPML	—	male	02/18	第20期	九州
tsujiikazuya	辻井和也	JPML	—	male	01/30	第30期	関西
tsujikawatakashi	辻川貴士	JPML	—	male	02/22	第39期	関西
tsujimotoitsuki	辻本一樹	JPML	C2	male	06/13	第36期	東京
tsujimotoshouya	辻本翔哉	JPML	—	male	12/16	第25期	関西
tsuboharahikaru	坪原光	JPML	E1②	male	11/22	第38期	東京
tsurimotokeisuke	釣本契介	JPML	E1②	male	11/06	第37期	東京
tsutsumibungo	堤文吾	JPML	C3	male	12/15	第31期	中部
sadayukinanami	定行七海	JPML	—	female	04/10	第42期	関西
kaburagihidenari	鏑木秀成	JPML	D2②	male	09/14	第36期	東京
makoto_tenne	天音まこと	JPML	E3②	female	08/06	第20期	東京
amasawasaeka	天沢沙恵花	JPML	—	female	10/06	第41期	山口
amanoyoshiaki	天野ヨシアキ	JPML	—	male	08/11	第38期	九州
amanomihoshi	天野美星	JPML	E3①	female	05/27	第42期	東京
tahararyouhei	田原亮平	JPML	C3	male	11/23	第37期	東京
tashibukazutoshi	田渋千歳	JPML	—	male	12/29	第42期	九州
tagawashouta	田川将太	JPML	—	male	04/09	第38期	北海道
tamuraryousuke	田村良介	JPML	D1②	male	07/09	第33期	中部
tamurashouhei	田村翔平	JPML	—	male	07/10	第40期	中部
tashirokoutarou	田代航太郎	JPML	D2②	male	09/10	第24期	東京
tanakahirotsugu	田中寛治	JPML	—	male	05/27	第35期	中部
tanakakento	田中健渡	JPML	E3②	male	06/05	第39期	東京
tanakakouta	田中光太	JPML	E3①	male	07/31	第42期	東京
tanakafumitaka	田中史孝	JPML	C3	male	12/21	第23期	東京
tanakaasahi	田中朝陽	JPML	E3②	male	08/14	第42期	東京
tanakatasuku	田中祐	JPML	C2	male	09/24	第37期	東京
watanabetakayuki	渡部貴之	JPML	—	male	11/12	第38期	四国
watanabemiki	渡部美樹	JPML	D3②	female	07/02	第38期	東京
watanabeeigo	渡辺英梧	JPML	C3	male	12/15	第37期	東京
watanabekenta	渡辺健太	JPML	—	male	02/02	第34期	九州
watanabefumiya	渡辺史哉	JPML	B2	male	06/27	第37期	静岡
watanabeatsushi	渡辺篤志	JPML	—	male	09/07	第37期	北海道
watanabeyuuki	渡辺雄輝	JPML	—	male		第38期	九州
watanabehiromi	渡辺洋巳	JPML	—	male	01/20	第20期	静岡
watanabemao	渡邊真央	JPML	E3①	male	02/26	第42期	東京
watanabeyuu	渡邊悠	JPML	E1①	male	04/25	第41期	東京
watanaberyou	渡邊亮	JPML	—	male	01/27	第36期	四国
koshiro_watanabe	渡邉浩史郎	JPML	A2	male	10/28	第35期	東京
watanabejunya	渡邉準也	JPML	E2②	male	04/25	第37期	東京
watanabehiroyuki	渡邉博之	JPML	—	male	12/11	第38期	四国
watanabetoshiki	渡邉翔士己	JPML	D2①	male	12/23	第38期	静岡
tsuzukitomokazu	都築友和	JPML	E1①	male	01/21	第30期	中部
doisatoru	土井悟	JPML	C3	male	06/13	第18期	東京
masahiro_tachikawa	刀川昌浩	JPML	B1	male	09/25	第23期	東京
shimaguchiryouta	島口椋多	JPML	—	male	06/17	第40期	九州
shimazakiryou	島崎涼	JPML	D1①	male	12/15	第31期	静岡
shimahideaki	島秀彰	JPML	—	male	11/25	第33期	九州
shimazuyuusuke	嶋津雄介	JPML	—	male	05/25	第40期	関西
shimadatakuya	嶋田卓也	JPML	E1②	male		第33期	東京
shoujimasahiro	東海林正博	JPML	—	male	08/19	第37期	北海道
higashiguchiyouichi	東口陽一	JPML	—	male	09/20	第40期	関西
azumakouichirou	東幸一郎	JPML	—	male	07/04	第20期	東北
azumakatsuaki	東克明	JPML	—	male	10/14	第40期	九州
tojo	東城りお	JPML	D2	female	1990/09/18	第29期	秋田県潟上市
higashitanitatsuya	東谷達矢	JPML	—	male	05/20	第27期	東京
yumurahiroaki	湯村浩章	JPML	—	male	10/24	第39期	東北
yudatakuya	湯田拓也	JPML	—	male	11/21	第39期	東北
tsutsuihiroaki	筒井宏晶	JPML	—	male	07/04	第26期	関西
fujiisumire	藤井すみれ	JPML	C1	female	12/04	第25期	東京
takanori_fujii	藤井崇勝	JPML	B1	male	07/17	第32期	東京
fujinagaryuuma	藤永流馬	JPML	D1①	male	11/17	第34期	東京
fujiokaharuyuki	藤岡治之	JPML	—	male	09/02	第20期	九州
fujimahironori	藤間大徳	JPML	E2①	male	10/29	第36期	東京
fujiisaeka	藤居冴加	JPML	E3①	female	10/29	第37期	東京
fujiwaraeiji	藤原英司	JPML	—	male	01/24	第23期	山口
fujiwaramasanobu	藤原正允	JPML	D2①	male		第25期	東京
fujiwarayouichi	藤原洋一	JPML	—	male	11/09	第21期	北海道
fujiwaratakahiro	藤原隆弘	JPML	—	male	05/23	第3期	東京
tounerisa	藤根梨沙	JPML	—	female	10/22	第35期	関西
satoshi_fujisaki	藤崎智	JPML	A1	male	01/25	第13期	東京
fujikawayoshitsugu	藤川議次	JPML	—	male	09/10	第20期	関西
fujisawaharunobu	藤沢晴信	JPML	D2①	male	05/28	第37期	東京
fujitaai	藤田愛	JPML	C2	female	08/12	第37期	東京
kenjiro_fujishima	藤島健二郎	JPML	A1	male	03/26	第17期	東京
toudousumire	藤堂菫	JPML	E3①	female	07/04	第42期	東京
fujinamimitsuki	藤波美月	JPML	E3②	female	02/24	第41期	東京
fujimotoshuuji	藤本修二	JPML	D2①	male	09/27	第20期	東京
fujimototetsuya	藤本哲也	JPML	C1	male	07/30	第21期	東京
fujimototetsuya-2	藤本鉄也	JPML	C3	male	12/26	第10期	北陸
fujinoyoshimitsu	藤野善充	JPML	E3②	male	10/10	第41期	東京
shunsuke_fujisawa	藤澤俊介	JPML	E3①	male	11/30	第42期	関西
tonton	童瞳	JPML	C3	female	12/24	第26期	東京
tokuiryuusuke	得居隆輔	JPML	—	male	03/17	第41期	関西
tokuikanto	徳井栞人	JPML	—	male	04/25	第39期	中部
narakeijun	奈良圭純	JPML	B2	male	03/13	第22期	東京
uchiyamaemi	内山えみ	JPML	E3②	female	06/13	第27期	東京
uchikawa	内川幸太郎	JPML	A1	male	1981/05/06	第21期	長野県松本市
uchimuramidori	内村翠	JPML	E3①	female	09/24	第39期	東京
uchidamiko	内田みこ	JPML	D3①	female	07/02	第33期	東京
uchidakaito	内田海斗	JPML	—	male	06/01	第40期	山口
naitoumasaki	内藤正樹	JPML	D1②	male	11/26	第34期	東京
nadaasatarou	灘麻太郎	JPML	—	male	03/17	第1期	東京
minamiteika	南ていか	JPML	E3②	female	01/01	第40期	東京
nanriharumi	南里はるみ	JPML	—	female	12/10	第16期	東京
minamikazuyuki	南和之	JPML	—	male	09/30	第34期	北陸
kusuharayuu	楠原遊	JPML	C3	female	07/21	第30期	東京
kusunokiichirou	楠木一朗	JPML	—	male	11/05	第21期	四国
nikaido-a	二階堂亜樹	JPML	A1	female	1980/04/09	第18期	神奈川県鎌倉市
nikaidourumi	二階堂瑠美	JPML	—	female	09/27	第16期	東京
futagiyuuta	二木悠太	JPML	—	male	08/04	第40期	関西
kusakakenji	日下健司	JPML	—	male	09/28	第24期	中部
hiyoshitatsuya	日吉辰哉	JPML	C2	male	04/11	第18期	東京
himizuryousuke	日水亮輔	JPML	E2①	male	11/10	第40期	北陸
hinotaiki	日野太貴	JPML	E2①	male	04/17	第38期	九州
kisaragiasuka	如月明日香	JPML	—	female	09/17	第34期	九州
kisaragiyasuyuki	如月靖之	JPML	—	male	02/19	第38期	北陸
nosemisaki	能瀬美咲	JPML	—	female	05/10	第39期	静岡
hanamisato	波奈美里	JPML	C1	female	11/01	第30期	東北
umenakayuusuke	梅中悠介	JPML	D3②	male	08/14	第37期	東京
umemotoshou	梅本翔	JPML	—	male	03/11	第35期	北陸
hagiwara	萩原聖人	JPML	A1	male	1971/08/21	第17期	神奈川県茅ヶ崎市
hagiwaratomoya	萩原智也	JPML	E3②	male	11/30	第40期	東京
shiroganesaki	白銀紗希	JPML	D2①	female	05/17	第28期	東京
shiratori	白鳥翔	JPML	A1	male	1983/10/04	第22期	東京都練馬区
kasuyayuukichi	粕谷勇吉	JPML	—	male	09/30	第20期	東北
kasuyayuuki	粕谷侑生	JPML	E3①	male	12/08	第41期	東京
hatadanishouta	畑谷翔太	JPML	—	male	02/11	第42期	四国
yagaminatsuki	八神夏姫	JPML	E3②	female	08/08	第40期	東京
yagihikaru	八木ヒカル	JPML	E2①	male	06/10	第39期	東京
itayayuuto	板谷祐斗	JPML	—	male	04/02	第34期	山口
iimoriyumiko	飯盛裕美子	JPML	D3②	female	06/07	第38期	東京
iidasoutarou	飯田爽太郎	JPML	—	male	04/06	第41期	関西
higuchitetsu	樋口徹	JPML	D1①	male	12/13	第28期	東京
higuchiyousuke	樋口洋輔	JPML	D3②	male	08/10	第23期	東京
misakiyuuna	美咲優菜	JPML	E3②	female	02/17	第34期	東京
minamitomoko	美波智子	JPML	—	female	11/01	第21期	東京
mirima	美里麻	JPML	—	female	11/21	第37期	関西
hikinokanako	疋野加奈子	JPML	D3②	female	08/16	第38期	東京
momoseai	百瀬あい	JPML	—	female	05/02	第41期	北陸
hamagamibungo	浜上文吾	JPML	—	male	12/21	第18期	九州
hamanotaiyou	浜野太陽	JPML	B2	male	02/07	第34期	東京
tomimuratsugumi	富村つぐみ	JPML	—	female	03/03	第27期	中部
tomitahisashi	冨田久志	JPML	D3②	male	11/22	第27期	東京
tomitajunichi	冨田淳一	JPML	—	male	03/01	第22期	関西
tomitachihiro	冨田智寛	JPML	E3①	male	06/01	第37期	東京
takeshitaakihiro	武下明弘	JPML	—	male	03/08	第40期	九州
takeishieri	武石絵里	JPML	D1②	female	03/08	第23期	東京
takedahinaho	武田雛歩	JPML	—	female	03/03	第37期	東京
takedayuuki	武田裕希	JPML	C1	male	02/01	第21期	東京
mutoutakeshi	武藤武	JPML	—	male	03/29	第18期	東北
toriyayukinori	部谷幸則	JPML	E2②	male	12/21	第31期	東京
kazamiayana	風見あやな	JPML	E3②	female	04/21	第42期	東京
fushimiseiichirou	伏見誠一郎	JPML	C1	male	12/09	第32期	東京
hattorimanabu	服部学	JPML	—	male	07/31	第27期	九州
fukuharatsuyoshi	福原剛	JPML	—	male	09/25	第9期	関西
fukumitsumasao	福光聖雄	JPML	B2	male	07/05	第25期	東京
fukuyamamitsuyuki	福山満幸	JPML	—	male	07/02	第13期	東京
fukudahiroshi	福田大志	JPML	C2	male	07/20	第41期	東京
fukudayuuta	福田雄大	JPML	D1②	male	01/19	第32期	東京
fukudamakoto	福田諒	JPML	—	male	07/04	第34期	九州
fukudakazuma	福田和真	JPML	—	male	11/12	第37期	関西
fukushimasayako	福島清子	JPML	—	female	05/20	第26期	四国
yuichi_fukushima	福島佑一	JPML	A2	male	05/05	第29期	東京
fukumotomasao	福本正雄	JPML	—	male	05/25	第39期	中部
fukurakakeru	福良翔	JPML	E2②	male	08/01	第40期	東京
fumizukimanami	文月愛美	JPML	—	female	07/21	第36期	北陸
hiraokarie	平岡理恵	JPML	—	female	01/25	第16期	静岡
hirayamakeisuke	平山慶典	JPML	E1①	male	09/29	第36期	東京
hiraishiyousuke	平石洋輔	JPML	—	male	02/19	第38期	四国
hirakawakazuki	平川一樹	JPML	—	male	11/24	第38期	四国
hiranokeigo	平野敬悟	JPML	D1①	male	02/28	第30期	静岡
hiranoryouei	平野良栄	JPML	C2	male	08/29	第30期	東京
yonekawamotoki	米川基紀	JPML	—	male	05/08	第18期	関西
beppukaname	別府要	JPML	E3①	male	09/08	第39期	東京
katakuramachi	片倉まち	JPML	—	female	11/23	第31期	東京
houbarasou	法原創	JPML	—	male	11/01	第41期	関西
mochizukimasatsugu	望月雅継	JPML	—	male	09/13	第14期	静岡
kitagawakarin	北川かりん	JPML	E3①	female	03/03	第41期	東京
kitagawaseiya	北川星哉	JPML	—	male	11/07	第40期	中部
kitagawayuuta	北川裕太	JPML	—	male	07/06	第40期	九州
kitamuragenki	北村弦騎	JPML	E2②	male	08/15	第37期	東京
kitamurayuuji	北村祐二	JPML	—	male	05/06	第34期	関西
kitanotakeshi	北野剛志	JPML	—	male	03/23	第42期	関西
kitanoyumi	北野由実	JPML	E2①	female	12/24	第22期	東京
houjouemi	北條恵美	JPML	—	female	01/01	第16期	東京
horibakouhei	堀場康平	JPML	D3①	male	10/23	第37期	東京
hori	堀慎吾	JPML	E3	male	1984/03/23	第23期	新潟県新発田市
horitashouhei	堀田翔平	JPML	E3①	male	11/05	第39期	東京
horibeyuuta	堀部雄太	JPML	E3①	male	09/08	第41期	四国
hondaryouhei	本多竜平	JPML	—	male	08/30	第41期	中部
hondatomoki	本田知己	JPML	E3②	male	03/16	第42期	東京
honda	本田朋広	JPML	C2	male	1983/10/03	第22期	富山県高岡市
asouchika	麻生知花	JPML	C3	female	06/15	第39期	東京
suenaganaoki	末永尚暉	JPML	D2①	male	11/18	第38期	東京
suematsutakafumi	末松隆文	JPML	C1	male	07/28	第30期	東京
suetsuguhirotoshi	末続ヒロトシ	JPML	C3	male	01/03	第22期	東京
naguratooru	名倉徹	JPML	—	male	03/29	第26期	九州
akashiteika	明石定家	JPML	C2	male	03/06	第13期	東京
akashiyuusuke	明石雄亮	JPML	—	male	08/06	第36期	中部
narumitakuto	鳴海拓斗	JPML	E1②	male	06/20	第39期	東京
moharamakoto	茂原誠	JPML	—	male	03/11	第41期	中部
ajiroshougo	網代将悟	JPML	E3①	male	08/04	第42期	東京
kinoshitakyouko	木下恭子	JPML	—	female	08/17	第25期	関西
kinoshitashinemon	木下新ヱ門	JPML	E1②	male	03/02	第39期	東京
kinoshitatomohiro	木下智裕	JPML	E3②	male	03/24	第42期	東京
kinoshitaharuka	木下遥	JPML	E1①	female	03/17	第38期	東京
kiharatsubasa	木原翼	JPML	D1①	male	09/28	第34期	東京
kidotomoyuki	木戸僚之	JPML	—	male	03/04	第23期	北陸
kimurotetsurou	木室哲朗	JPML	—	male	10/14	第35期	九州
kimurasaki	木村さき	JPML	—	female	10/02	第40期	北海道
kimurakouhei	木村幸平	JPML	—	male	07/29	第39期	関西
kijimakoutarou	木島甲太郎	JPML	D1①	male		第33期	東京
koguretomoki	木暮智貴	JPML	—	male	09/08	第31期	東京
kimotodaisuke	木本大介	JPML	D2①	male	08/28	第33期	東京
mondendaiki	門田大輝	JPML	E2①	male	04/29	第41期	東京
monmashou	門眞翔	JPML	—	male		第40期	東北
nonokawahiroyuki	野々川博之	JPML	—	male	09/29	第6期	北海道
nosakakenichi	野坂健一	JPML	—	male	09/16	第30期	北海道
nomuratakashi	野村駿	JPML	D1②	male	01/02	第36期	東京
nomurasoushi	野村創志	JPML	—	male	11/17	第39期	東京
nomurayuusuke	野村祐介	JPML	E3②	male	06/01	第39期	関西
nomuraryougo	野村遼吾	JPML	C2	male	04/24	第38期	東北
nozawayuutarou	野沢友太朗	JPML	—	male	04/04	第39期	東京
nogatayuusuke	野方祐介	JPML	D1①	male	08/06	第18期	東京
yazakikounosuke	矢崎航之介	JPML	C1	male	06/07	第29期	東京
yanotakurou	矢野拓郎	JPML	—	male	12/23	第26期	九州
yuzukimika	優月みか	JPML	D1②	female	03/28	第30期	東京
aritamasayuki	有田将之	JPML	D2①	male	02/10	第35期	東京
yunokimasahito	柚木正仁	JPML	—	male	07/14	第20期	東京
hayamayuiitsu	葉山唯一	JPML	E1①	male	01/11	第38期	東京
kurumirei	来海怜	JPML	E3①	female	10/15	第40期	北海道
raisakura	頼さくら	JPML	D3②	female	01/29	第38期	東京
aiarisa	藍ありさ	JPML	—	female	04/22	第42期	北陸
rika	李佳	JPML	E3②	female	11/15	第39期	東京
rijunyon	李峻榮	JPML	E3②	male	08/28	第40期	東京
satokiyuusuke	里木祐介	JPML	C3	male	04/03	第33期	北陸
tatematsunobuhide	立松伸英	JPML	E2②	male	02/23	第41期	東京
tattashouhei	立田祥平	JPML	C3	male	07/19	第35期	東京
rumimasato	流水聖人	JPML	—	male	02/26	第19期	九州
hayashiteruyuki	林輝志	JPML	—	male	04/11	第38期	関西
ringen	林源	JPML	E3②	male	05/29	第38期	東京
hayashitoshihiro	林俊宏	JPML	—	male	10/25	第19期	中部
hayashijunichirou	林潤一郎	JPML	B2	male	01/17	第31期	東京
hayashimisaki	林美沙希	JPML	E3①	female	05/02	第39期	東京
hayashirei	林玲	JPML	—	male	07/17	第40期	関西
suzukifumitaka	鈴木郁孝	JPML	C2	male	02/06	第19期	静岡
suzukitakayuki	鈴木孝幸	JPML	E3①	male	01/27	第41期	北陸
suzukihiroaki	鈴木宏明	JPML	E3①	male	11/28	第42期	東京
suzukiayaka	鈴木彩夏	JPML	C3	female	08/23	第28期	東京
suzukihideyuki	鈴木秀幸	JPML	—	male	09/18	第23期	静岡
suzukiatsushi	鈴木淳	JPML	—	male	01/24	第21期	中部
suzukikatsuya	鈴木勝也	JPML	E3②	male	04/08	第36期	東北
suzukimanato	鈴木真都	JPML	E3①	male	11/04	第40期	九州
suzukimakoto	鈴木誠	JPML	C2	male	09/11	第33期	東京
suzuki-d	鈴木大介	JPML	A1	male	1974/07/11	第10期	東京都町田市
suzukiyuuya	鈴木裕也	JPML	C3	male	01/15	第37期	東京
suzukiyuusuke	鈴木雄介	JPML	—	male	01/03	第23期	中部
suzukisatomi	鈴木里美	JPML	—	female	05/17	第38期	東北
hasunumayuuki	蓮沼友樹	JPML	—	male	02/04	第32期	東京
oitsukitakanori	老月貴紀	JPML	D2②	male	05/20	第14期	東京
fumotoyukio	麓征生	JPML	C2	male	12/05	第21期	東京
akira_wakutsu	和久津晶	JPML	A1	female	02/17	第23期	東京
izumiyukiko	和泉由希子	JPML	C2	female	10/24	第19期	東京
wadakenichi	和田健一	JPML	—	male	07/14	第38期	四国
wadanaoki	和田直樹	JPML	E3②	male	12/31	第40期	東京
sumihayato	鷲見隼人	JPML	—	male	12/10	第28期	静岡
aidaryousuke	會田亮介	JPML	E3①	male	08/11	第35期	東京
hirookarina	廣岡璃奈	JPML	D2①	female	03/11	第36期	東京
nagihironobu	梛木広信	JPML	—	male	06/03	第35期	東京
sakuraiyuuma	櫻井勇馬	JPML	D2①	male	07/04	第35期	東北
sawayaryou	澤谷諒	JPML	C1	male	09/24	第35期	東京
sawadayui	澤田唯	JPML	C1	male	10/26	第33期	東京
hamanakamasashi	濱中真志	JPML	—	male	05/08	第35期	関西
hamadamasashi	濱田将司	JPML	—	male	07/08	第38期	四国
isokawayuusuke	礒川雄介	JPML	—	male	07/03	第40期	山口
saitouhikaru	齋藤光	JPML	—	male	03/16	第37期	北海道
saitougou	齋藤豪	JPML	C3	male	03/27	第28期	東京
saitoutaichi	齋藤太一	JPML	E2①	male	04/07	第41期	東京
saitoumaiko	齋藤麻衣子	JPML	E2①	female	03/13	第26期	東京
bandaishinichirou	萬代進一郎	JPML	—	male	08/22	第41期	山口
ebiharaakira	蛯原朗	JPML	C1	male	06/23	第25期	東京
saitoukyouzou	齊藤匡蔵	JPML	—	male	12/30	第41期	関西
takahashisatoshi-2	髙橋悟志	JPML	—	male	11/15	第31期	関西
takahashisatoshi	髙橋聡志	JPML	—	male	05/02	第39期	北海道
takadashou	髙田翔	JPML	C3	male	02/17	第33期	東京
erika	ERIKA	NPM	女流C	female	非公開	第10期後期	非公開
kato_hisa	HISA加藤	NPM	—	male	10/16	第23期前期東海名古屋	愛知県
miiko	miiko	NPM	—	female	非公開	第17期前期関西	非公開
rob	Rob	NPM	D2	male	06/15	第20期前期	大阪府
toshi	TOSHI	NPM	C1	male	非公開	第15期後期	非公開
abadango	あばだんご	NPM	E3	male	08/23	第23期前期	千葉県
ojiro	おうじろう	NPM	E1	male	11/29	第21期前期	新潟県
okumiki	おくみき	NPM	女流B	female	09/04	第4期後期	東京都
kani	カニ	NPM	—	male	06/16	第23期後期	海外中国
kenji_caracal	カラカル建史	NPM	—	male	08/22	第21期後期	北海道
kelvin	ケルヴィン	NPM	B1	male	11/01	第5期前期	愛知県日本
koide	こいで	NPM	—	male	04/01	第23期前期東海名古屋	愛知県
kou	コウ	NPM	B1	male	09/04	第9期後期	大阪府
saikorotaro	サイコロ太郎	NPM	B1	male	12/31	第5期前期関西	兵庫県
savage_matsuda	サヴェ松田	NPM	—	male	02/14	第21期前期関西	大阪府
shigenosuke	シゲノスケ	NPM	D1	male	非公開	第22期前期	非公開
zentsyasuda	ゼンツ安田	NPM	C3	male	07/31	第20期前期	岡山県
takiryo	たきりょう	NPM	E3	male	06/07	第21期前期	埼玉県
tajimanami	たじまなみ	NPM	—	female	05/01	第11期前期	神奈川県
tattsan	たっつぁん	NPM	E1	male	02/27	第21期前期	非公開
tsubaki	つばき	NPM	—	male	05/01	第20期前期関西	奈良県
teru	てる	NPM	E3	male	02/07	第23期後期	山形県
do_miki	どうみき	NPM	—	female	10/22	第23期後期東海名古屋	愛知県
tony_tanaka	トニー田中	NPM	—	male	04/21	第20期後期関西	和歌山県
nicolas	ニコラス	NPM	—	male	11/07	第16期前期関西	海外アルゼンチン
noda_nanako	のだななこ	NPM	E3	female	03/04	第21期後期	神奈川県
nobu_odashima	ノブ小田島	NPM	—	male	10/11	第23期前期	北海道
nohe_kazuya	のへ和也	NPM	D2	male	03/09	第19期後期	東京都
norihito	ノリヒト	NPM	—	male	02/25	第8期後期	東京都
hajime	はじめ	NPM	C2	male	03/01	第19期後期	東京都
potato_yoshino	ポテト吉野	NPM	—	male	非公開	第23期前期東海名古屋	愛知県
pon_chinkan	ポンチンカン	NPM	—	male	非公開	第22期前期	非公開
mia	みあ	NPM	B2	female	07/17	第17期後期	非公開
mei	めい	NPM	女流C	female	12/16	第17期後期	奈良県
mensan_akechi	メンサン明智	NPM	E3	male	非公開	第21期後期	北海道
yoshimura	よしむら	NPM	E2	female	06/12	第21期前期	大阪府
yonsu	ヨンス	NPM	C1	male	10/14	第16期後期	千葉県
rinno_nao	りんのなお	NPM	B2	female	非公開	第16期前期	非公開
ruler_yamaguchi	ルーラー山口	NPM	—	male	05/29	第0期関西	徳島県
aga_hisanao	阿賀寿直	NPM	—	male	02/05	第1期後期	東京都
abe_kouki	阿部洸希	NPM	C3	male	12/03	第15期後期	青森県
aiuchi_yoshie	愛内よしえ	NPM	D3	female	10/20	第7期後期	東京都
ohsaka_sora	逢坂そら	NPM	—	female	08/29	第21期後期関西	非公開
kyoji_aisaka	逢坂恭司	NPM	C2	male	05/09	第15期後期	広島県
aikawa	逢川恵夢	NPM	B2	female	1987/08/28	第1期	大阪府
ayase_mari	綾瀬まり	NPM	D1	female	09/27	第5期後期	秋田県
azumi_taichi	安住太一	NPM	E2	male	05/23	第22期後期	熊本県
ataka_koki	安卓光希	NPM	E1	male	10/20	第23期前期	愛知県
ando_kaoru	安藤カオル	NPM	E2	male	03/30	第22期前期	大阪府
ando_hiroki	安藤弘樹	NPM	A2	male	05/15	第16期前期	栃木県
yohei	安倍洋平	NPM	D2	male	12/19	第15期前期	埼玉県
abe_tatsuya	安部達也	NPM	C3	male	06/08	第10期後期	福岡県
ikaho_taro	伊香保太郎	NPM	—	male	01/15	第22期後期関西	千葉県
ibuki_ryoga	伊吹凌雅	NPM	—	male	05/20	第24期後期東海名古屋	北海道
ise_takahiro	伊勢高博	NPM	F1	male	03/10	第22期前期	東京都
itou_hirosi	伊藤寛	NPM	—	male	08/07	第20期前期香川	広島県
ito_masaki	伊藤正樹	NPM	D2	male	11/02	第22期前期	東京都
ito_takahiro	伊藤隆洋	NPM	—	male	09/09	第23期後期東海名古屋	愛知県
ito_ryoma	伊藤凌馬	NPM	F1	male	09/01	第22期後期	山形県
yorimoto_kei	依本彗	NPM	—	female	03/24	第24期前期東海名古屋	愛知県
ide_junpei	井出隼平	NPM	C1	male	05/03	第22期後期	東京都
inoue_keisuke	井上佳介	NPM	E3	male	01/27	第24期後期	埼玉県
koichi_inoue	井上剛一	NPM	E2	male	11/11	第18期後期	非公開
inoue_taichi	井上太一	NPM	—	male	09/21	第24期後期関西	福岡県
inoue_tadashi	井上忠	NPM	—	male	非公開	第23期前期関西	愛知県日本
ikawa_takuro	井川拓郎	NPM	—	male	11/10	第22期前期関西	大阪府
isogai_masahiko	磯貝昌彦	NPM	C2	male	07/18	第6期後期	栃木県
ichinose_eito	一ノ瀬英人	NPM	E3	male	03/04	第24期前期	東京都
ichinose_shota	一ノ瀬正太	NPM	—	male	06/28	第23期前期東海名古屋	愛知県
ichika_saki	一花紗綺	NPM	E3	female	05/11	第23期後期	神奈川県
ichikura_shinya	一蔵慎也	NPM	E3	male	11/04	第23期後期	長崎県
ichikita_hiroto	一北寛人	NPM	—	male	04/17	第0期関西	兵庫県
ichijo_waco	一條わこ	NPM	E3	female	08/19	第23期前期	東京都
inada_sosuke	稲田聡典	NPM	—	male	非公開	第21期前期宮崎	宮崎県
ibaragi_keita	茨城啓太	NPM	A1	male	03/09	第8期前期	茨城県
kageyama_takahiro	陰山孝弘	NPM	E3	male	05/19	第24期後期	茨城県
haga_asuka	羽賀飛鳥	NPM	E2	male	12/08	第23期前期	神奈川県
hazuki	羽月	NPM	—	female	03/19	第19期前期関西	兵庫県
amami_rei	雨海黎	NPM	—	female	03/20	第24期前期関西	広島県
